person,role,group,eyesight,continents,countries,pballs,reaction
P1,student,G1,-2.5,2,9,2,0.666666667
P2,student,G1,-2,1,6,3,0.558333333
P3,person,G1,14,1,8,2,0.725
P4,student,G1,-4.5,5,15,5,0.475
P5,staff,G1,0,3,17,2,0.391666667
P6,staff,G1,4,2,7,4,0.358333333
P7,student,G2,-1.5,3,14,2,0.525
P8,student,G2,1.25,1,9,2,0.583333333
P9,student,G2,0,2,14,3,0.275
P10,person,G2,0.75,3,16,2,0.391666667
P11,staff,G3,8.5,2,3,3,0.5
P12,student,G3,1.5,3,12,2,0.608333333
P13,student,G3,-7.5,6,28,7,0.816666667
P14,student,G3,0,3,12,6,0.475
P15,staff,G3,6.5,3,4,4,0.358333333
P16,student,G4,1,1,7,0,0.475
P17,person,G4,-3.5,3,10,2,0.525
P18,student,G4,0,7,17,4,0.5
P19,staff,G4,-2,1,1,1,0.775
P20,person,G4,0,1,1,0,0.475
P21,student,G5,0,2,14,NA,0.358333333
P22,student,G5,1.75,1,18,NA,0.583333333
P23,child,G5,NA,2,5,NA,0.5
P24,child,G5,NA,1,5,NA,0.75
P25,child,G5,NA,4,14,NA,0.225
P26,baby,G5,NA,1,1,NA,NA
P27,person,G6,0,1,9,5,0.358333333
P28,student,G6,-1.5,4,11,8,0.641666667
P29,student,G6,0,2,2,1,0.5
P30,student,G6,0,2,8,1,NA
P31,student,G6,-2.5,2,17,0,NA
